CASE_ENQUIRY_ID,OPEN_DT,CLOSED_DT,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,LATITUDE,LONGITUDE,Source,Geocoded_Location
101000803816,03/14/2013 09:35:00 AM,03/14/2013 09:35:00 AM,Closed,Case Closed Internal Case Performed by Highway Maintenance crew. ,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 06: West Roxbury and Roslindale,PWDx,INTERSECTION of Washington St & Ferncliff Ave  West Roxbury  MA  ,12,6,6,E5,West Roxbury,10,Ward 20,2003,,INTERSECTION Washington St & Ferncliff Ave,,42.359203,-71.049349,Employee Generated,"(42.359203, -71.049349)"
101000803817,03/14/2013 09:35:00 AM,03/14/2013 09:35:00 AM,Closed,Case Closed Internal Case Performed by Highway Maintenance crew. ,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 06: West Roxbury and Roslindale,PWDx,INTERSECTION of Washington St & Ferncliff Ave  West Roxbury  MA  ,12,6,6,E5,West Roxbury,10,Ward 20,2003,,INTERSECTION Washington St & Ferncliff Ave,,42.359203,-71.049349,Employee Generated,"(42.359203, -71.049349)"
101000803818,03/14/2013 09:35:00 AM,03/14/2013 09:35:00 AM,Closed,Case Closed Internal Case Performed by Highway Maintenance crew. ,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 06: West Roxbury and Roslindale,PWDx,INTERSECTION of Washington St & Ferncliff Ave  West Roxbury  MA  ,12,6,6,E5,West Roxbury,10,Ward 20,2003,,INTERSECTION Washington St & Ferncliff Ave,,42.359203,-71.049349,Employee Generated,"(42.359203, -71.049349)"
101000803820,03/14/2013 09:35:00 AM,03/14/2013 09:35:00 AM,Closed,Case Closed Internal Case Performed by Highway Maintenance crew. ,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 06: West Roxbury and Roslindale,PWDx,INTERSECTION of Washington St & Ferncliff Ave  West Roxbury  MA  ,12,6,6,E5,West Roxbury,10,Ward 20,2003,,INTERSECTION Washington St & Ferncliff Ave,,42.359203,-71.049349,Employee Generated,"(42.359203, -71.049349)"
101000803806,03/14/2013 09:34:00 AM,03/14/2013 09:34:00 AM,Closed,Case Closed Internal Case Performed by Highway Maintenance crew. ,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 06: West Roxbury and Roslindale,PWDx,INTERSECTION of Washington St & Ferncliff Ave  West Roxbury  MA  ,12,6,6,E5,West Roxbury,10,Ward 20,2003,,INTERSECTION Washington St & Ferncliff Ave,,42.359203,-71.049349,Employee Generated,"(42.359203, -71.049349)"
101000803807,03/14/2013 09:34:00 AM,03/14/2013 09:34:00 AM,Closed,Case Closed Internal Case Performed by Highway Maintenance crew. ,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 06: West Roxbury and Roslindale,PWDx,INTERSECTION of Washington St & Ferncliff Ave  West Roxbury  MA  ,12,6,6,E5,West Roxbury,10,Ward 20,2003,,INTERSECTION Washington St & Ferncliff Ave,,42.359203,-71.049349,Employee Generated,"(42.359203, -71.049349)"
101000803808,03/14/2013 09:34:00 AM,03/14/2013 09:34:00 AM,Closed,Case Closed Internal Case Performed by Highway Maintenance crew. ,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 06: West Roxbury and Roslindale,PWDx,INTERSECTION of Washington St & Ferncliff Ave  West Roxbury  MA  ,12,6,6,E5,West Roxbury,10,Ward 20,2003,,INTERSECTION Washington St & Ferncliff Ave,,42.359203,-71.049349,Employee Generated,"(42.359203, -71.049349)"
101000803810,03/14/2013 09:34:00 AM,03/14/2013 09:34:00 AM,Closed,Case Closed Internal Case Performed by Highway Maintenance crew. ,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 06: West Roxbury and Roslindale,PWDx,INTERSECTION of Washington St & Ferncliff Ave  West Roxbury  MA  ,12,6,6,E5,West Roxbury,10,Ward 20,2003,,INTERSECTION Washington St & Ferncliff Ave,,42.359203,-71.049349,Employee Generated,"(42.359203, -71.049349)"
101000816352,04/03/2013 02:42:00 PM,04/08/2013 03:02:00 PM,Closed,Case Closed Case Resolved  filled by district 1 (cap)  4/8/13  ,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 1B: North End,PWDx,26 Myrtle St  Boston  MA  02114,3,1B,8,A1,Beacon Hill,14,Ward 5,503,A,26 Myrtle St,02114,42.35922,-71.06547,Self Service,"(42.35922, -71.06547)"
101000804389,03/14/2013 04:28:00 PM,03/15/2013 03:16:00 PM,Closed,Case Closed Case Resolved  filled  ,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 1C: Downtown,PWDx,INTERSECTION of Boylston St & Massachusetts Ave  Boston  MA  ,4,1C,8,D4,Back Bay,14,Ward 4,406,,INTERSECTION Boylston St & Massachusetts Ave,,42.359238,-71.1355,Constituent Call,"(42.359238, -71.1355)"
